k,k_over_b,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21
-1.394814995577211003e-01,-2.219917012448132665e-01,-8.205233176445429854e+04,-6.869623770181677537e+04,-5.364255403929291060e+04,-4.295768145347787504e+04,-3.124926282796821397e+04,-2.323561031789320987e+04,-1.487246738084296703e+04,-9.530040908628163379e+03,-4.512239577600294069e+03,-1.841072224981267254e+03,-1.687450445673283355e+02,5.062045570121821925e+02,1.096430158631012773e+03,5.933019906707870177e+03,7.702016161186691534e+03,1.737626781433746510e+04,2.032459418596670730e+04,3.483603699671100912e+04,3.896369372135183949e+04,5.831229687536137499e+04,6.361928506918656785e+04,8.780504123090521898e+04
-1.368743687248665242e-01,-2.178423236514523131e-01,-8.192201832982611086e+04,-6.881557083320860693e+04,-5.353720527284000127e+04,-4.305204991034555133e+04,-3.116887874565033781e+04,-2.330501408202218954e+04,-1.481704806314340021e+04,-9.574479851637632237e+03,-4.481785874997113751e+03,-1.860545518889875439e+03,-1.632518206756094230e+02,4.962267787716245948e+02,1.111401761209906681e+03,5.898071914400751666e+03,7.741961219112054096e+03,1.731635479986251084e+04,2.038950427575914728e+04,3.475115926323249005e+04,3.905356852972640627e+04,5.820245446627304045e+04,6.373412455354293343e+04,8.767023415409412701e+04
-1.342672378920119203e-01,-2.136929460580913043e-01,-8.179180848301302467e+04,-6.893500755240974831e+04,-5.343196009423931537e+04,-4.314652195508072327e+04,-3.108859825131265097e+04,-2.337452143420271022e+04,-1.476173233417848678e+04,-9.619022383951602023e+03,-4.451435772381489187e+03,-1.880122409728490084e+03,-1.578621504806204712e+02,4.863521644313343018e+02,1.126477356779814954e+03,5.863227513540849031e+03,7.782009868867567093e+03,1.725654537367363446e+04,2.045451795382794080e+04,3.466638511766686133e+04,3.914354692601349234e+04,5.809271564502002730e+04,6.384906762573248852e+04,8.753553066508771735e+04
-1.316601070591573164e-01,-2.095435684647302954e-01,-8.166170222401508363e+04,-6.905454785942017043e+04,-5.332681850349117303e+04,-4.324109758768317988e+04,-3.100842134495619393e+04,-2.344413237443322214e+04,-1.470652019395593561e+04,-9.663668505557019671e+03,-4.421189269915407749e+03,-1.899802897150404760e+03,-1.525760368009288186e+02,4.765807625655189668e+02,1.141656899407128321e+03,5.828486704160382942e+03,7.822162110408242370e+03,1.719683953577417560e+04,2.051963522016974093e+04,3.458171456001450133e+04,3.923362891021241376e+04,5.798308041160233552e+04,6.396411428575529862e+04,8.740093076388587360e+04
-1.290529762263027125e-01,-2.053941908713693143e-01,-8.153169955283237505e+04,-6.917419175423993147e+04,-5.322178050059589441e+04,-4.333577680815241183e+04,-3.092834802658198532e+04,-2.351384690271207364e+04,-1.465141164248363384e+04,-9.708418216440975812e+03,-4.391046367763113267e+03,-1.919586980837047122e+03,-1.473934823782106491e+02,4.669126147724738303e+02,1.156940350087040770e+03,5.793849486291751418e+03,7.862417943689586536e+03,1.713723728616769949e+04,2.058485607478108432e+04,3.449714759027610125e+04,3.932381448232242110e+04,5.787354876602045260e+04,6.407926453361109452e+04,8.726643445048868307e+04
-1.264458453934481086e-01,-2.012448132780083054e-01,-8.140180046946510265e+04,-6.929393923686882772e+04,-5.311684608555346495e+04,-4.343055961648835364e+04,-3.084837829619101831e+04,-2.358366501903779499e+04,-1.459640667976950499e+04,-9.753271516590652027e+03,-4.361007066091216984e+03,-1.939474660495840681e+03,-1.423144898772677891e+02,4.573477568916003406e+02,1.172327675524503320e+03,5.759315859967608958e+03,7.902777368667782866e+03,1.707773862485770951e+04,2.065018051765884229e+04,3.441268420845238870e+04,3.941410364234319422e+04,5.776412070827419666e+04,6.419451836929977435e+04,8.713204172489620396e+04
-1.238387145605935047e-01,-1.970954356846472966e-01,-8.127200497391300451e+04,-6.941379030730671366e+04,-5.301201525836443761e+04,-4.352544601269040140e+04,-3.076851215378442794e+04,-2.365358672340886187e+04,-1.454150530582152169e+04,-9.798228405993386332e+03,-4.331071365068552950e+03,-1.959465935858358534e+03,-1.373390618864239343e+02,4.478862199740720484e+02,1.187818847161854592e+03,5.724885825220753759e+03,7.943240385299547597e+03,1.701834355184778178e+04,2.071560854879967155e+04,3.432832441454373475e+04,3.950449639027405647e+04,5.765479623836397514e+04,6.430987579282103979e+04,8.699775258710837807e+04
-1.212315837277389008e-01,-1.929460580912862877e-01,-8.114231306617645896e+04,-6.953374496555361839e+04,-5.290728801902891428e+04,-4.362043599675840233e+04,-3.068874959936331288e+04,-2.372361201582376452e+04,-1.448670752064779845e+04,-9.843288884636616785e+03,-4.301239264866456324e+03,-1.979560806678396148e+03,-1.324672009176183565e+02,4.385280310639065533e+02,1.203413840396436399e+03,5.690559382084268691e+03,7.983806993542206328e+03,1.695905206714147425e+04,2.078114016820047982e+04,3.424406820855098340e+04,3.959499272611437482e+04,5.754557535628979531e+04,6.442533680417499272e+04,8.686356703712538001e+04
-1.186244528948843246e-01,-1.887966804979253344e-01,-8.101272474625546602e+04,-6.965380321160957101e+04,-5.280266436754717142e+04,-4.371552956869205809e+04,-3.060909063292864812e+04,-2.379374089628100046e+04,-1.443201332425650253e+04,-9.888452952507930604e+03,-4.271510765658556011e+03,-1.999759272730458633e+03,-1.276989094068219259e+02,4.292732138307177934e+02,1.219112633946333290e+03,5.656336530591390328e+03,8.024477193353583971e+03,1.689986417074241035e+04,2.084677537585794562e+04,3.415991559047461487e+04,3.968559264986380003e+04,5.743645806205189729e+04,6.454090140336113109e+04,8.672948507494718069e+04
-1.160173220620297208e-01,-1.846473029045643532e-01,-8.088324001415002567e+04,-6.977396504547448421e+04,-5.269814430391946371e+04,-4.381072672849082301e+04,-3.052953525448159053e+04,-2.386397336477905264e+04,-1.437742271665592671e+04,-9.933720609594969574e+03,-4.241885867620999306e+03,-2.020061333808135942e+03,-1.230341897143545538e+02,4.201217890863987350e+02,1.234915209332753648e+03,5.622217270775588077e+03,8.065250984692117527e+03,1.684077986265433356e+04,2.091251417176892210e+04,3.407586656031518942e+04,3.977629616152144445e+04,5.732744435565050662e+04,6.465656959037964407e+04,8.659550670057378011e+04
